City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Atuona,9,PF,1660408850,74,-9.8,-139.0333,25.03,9.03
Vestmannaeyjar,100,IS,1660408850,76,63.4427,-20.2734,10.55,3.09
Rikitea,31,PF,1660408850,76,-23.1203,-134.9692,22.98,9.73
George Town,20,MY,1660408850,86,5.4112,100.3354,28.27,1.54
Punta Arenas,75,CL,1660408850,75,-53.15,-70.9167,2.06,8.23
Muscat,100,OM,1660408383,55,23.6139,58.5922,33.01,3.3
Acajutla,99,SV,1660408850,72,13.5928,-89.8275,28.71,2.02
Albany,0,US,1660408851,52,42.6001,-73.9662,23.68,0.45
Tateyama,75,JP,1660408851,86,34.9833,139.8667,26.17,12.0
Hilo,40,US,1660408851,91,19.7297,-155.09,24.04,2.57
New Norfolk,100,AU,1660408851,87,-42.7826,147.0587,11.07,1.34
Lagoa Formosa,0,BR,1660408851,26,-18.7786,-46.4075,27.79,1.81
Jieshi,3,CN,1660408851,80,22.8134,115.8257,28.33,2.84
Kasakh,1,AM,1660408851,65,40.537,44.4105,22.59,3.38
Geraldton,75,AU,1660408851,87,-28.7667,114.6,10.23,1.54
Chokurdakh,100,RU,1660408851,98,70.6333,147.9167,1.53,3.64
Ushuaia,0,AR,1660408786,56,-54.8,-68.3,3.81,2.06
Íos,0,GR,1660408851,64,36.7333,25.2833,27.95,2.24
Dikson,100,RU,1660408851,99,73.5069,80.5464,6.24,3.28
Cape Town,75,ZA,1660408414,83,-33.9258,18.4232,12.99,9.77
Vaini,20,TO,1660408852,77,-21.2,-175.2,20.09,4.63
Mahébourg,40,MU,1660408728,83,-20.4081,57.7,20.16,6.69
Itatiaia,5,BR,1660408852,42,-22.4961,-44.5633,25.06,2.25
Nettuno,26,IT,1660408852,63,41.4826,12.679,28.91,3.03
Mackenzie,0,CA,1660408852,77,55.2999,-123.1698,17.12,1.54
Tautira,41,PF,1660408852,79,-17.7333,-149.15,24.77,6.34
Faanui,18,PF,1660408852,76,-16.4833,-151.75,25.3,5.64
Busselton,89,AU,1660408852,70,-33.65,115.3333,11.82,3.52
Uddevalla,49,SE,1660408665,47,58.3478,11.9424,26.2,1.98
Puerto Carreño,100,CO,1660408852,97,6.189,-67.4859,22.75,4.33
Torbay,75,CA,1660408852,85,47.6666,-52.7314,23.27,5.66
Altay,17,CN,1660408853,59,47.8667,88.1167,16.05,2.48
Yellowknife,20,CA,1660408853,68,62.456,-114.3525,19.29,4.63
Xihe,62,CN,1660408853,70,31.6864,113.4659,27.79,3.53
Hobart,100,AU,1660408765,95,-42.8794,147.3294,11.26,7.2
Bredasdorp,66,ZA,1660408853,61,-34.5322,20.0403,11.02,3.57
São João da Barra,23,BR,1660408853,55,-21.6403,-41.0511,24.05,5.26
Harper,93,LR,1660408853,73,4.375,-7.7169,25.49,5.32
Port Elizabeth,100,ZA,1660408853,92,-33.918,25.5701,11.29,1.03
Saint-Philippe,59,RE,1660408853,77,-21.3585,55.7679,20.77,5.1
Te Anau,56,NZ,1660408853,94,-45.4167,167.7167,1.64,0.4
Barrow,100,US,1660408854,86,71.2906,-156.7887,1.01,5.14
Avarua,75,CK,1660408854,94,-21.2078,-159.775,23.03,1.03
North Platte,0,US,1660408854,48,41.1239,-100.7654,29.94,5.14
Alice Springs,0,AU,1660408854,60,-23.7,133.8833,4.75,2.57
Hobyo,51,SO,1660408854,79,5.3505,48.5268,25.03,11.51
Juneau,100,US,1660408854,96,58.3019,-134.4197,15.68,4.12
Mataura,12,NZ,1660408854,98,-46.1927,168.8643,6.93,1.36
Nanortalik,100,GL,1660408854,95,60.1432,-45.2371,7.45,5.33
Bluff,5,NZ,1660408854,73,-46.6,168.3333,7.11,7.2
Thompson,20,CA,1660408854,59,55.7435,-97.8558,18.09,1.03
Kedrovyy,51,RU,1660408854,82,56.1667,91.8167,15.23,0.62
Margate,4,GB,1660408855,55,51.3813,1.3862,31.17,1.34
Hervey Bay,17,AU,1660408855,79,-25.2986,152.8535,14.17,3.93
Inírida,100,CO,1660408855,98,3.8653,-67.9239,22.95,0.35
Nordhausen,83,DE,1660408855,48,51.5167,10.8,26.75,5.58
Pisco,100,PE,1660408855,82,-13.7,-76.2167,17.79,2.06
Slavutych,89,UA,1660408855,80,51.5196,30.7343,20.47,5.34
Cherskiy,66,RU,1660408855,74,68.75,161.3,3.39,2.35
Longyearbyen,75,SJ,1660408855,81,78.2186,15.6401,6.91,6.69
Souillac,40,MU,1660408855,83,-20.5167,57.5167,20.21,6.69
Coquimbo,0,CL,1660408855,67,-29.9533,-71.3436,14.85,3.09
Honningsvåg,100,NO,1660408855,87,70.9821,25.9704,9.86,3.6
Port Hardy,75,CA,1660408856,100,50.6996,-127.4199,13.1,1.03
Pevek,94,RU,1660408856,89,69.7008,170.3133,0.03,2.51
Ponta do Sol,22,PT,1660408856,70,32.6667,-17.1,26.51,2.37
Khovd,24,MN,1660408856,42,48.0056,91.6419,17.82,2.18
Mossamedes,77,AO,1660408856,78,-15.1961,12.1522,19.6,3.34
Vaitape,19,PF,1660408856,76,-16.5167,-151.75,25.31,5.62
Port Alfred,100,ZA,1660408856,96,-33.5906,26.891,10.66,0.89
Moshenskoye,91,RU,1660408856,68,58.5102,34.5911,20.41,1.12
Saint-Joseph,78,RE,1660408856,75,-21.3667,55.6167,20.21,5.2
Cedar City,100,US,1660408856,78,37.6775,-113.0619,21.33,2.57
Kawalu,71,ID,1660408856,99,-7.3817,108.2082,22.1,0.38
Ponnāni,100,IN,1660408856,84,10.767,75.9252,25.62,3.11
Mtambile,47,TZ,1660408856,80,-5.3833,39.7,23.79,6.17
Keti Bandar,47,PK,1660408857,82,24.1447,67.4497,27.16,5.96
Palmer,40,US,1660408857,48,42.1584,-72.3287,24.49,4.63
Chui,48,UY,1660408857,79,-33.6971,-53.4616,17.69,1.78
Ilulissat,40,GL,1660408709,41,69.2167,-51.1,13.01,8.23
Ocampo,67,MX,1660408857,42,21.65,-101.5,21.6,0.72
Hithadhoo,69,MV,1660408857,74,-0.6,73.0833,28.46,3.76
Nikolskoye,96,RU,1660408857,75,59.7035,30.7861,21.94,2.87
Kalianget,80,ID,1660408857,81,-7.05,113.9333,27.21,4.83
Umba,48,RU,1660408857,59,66.6871,34.3429,13.7,1.95
Houston,20,US,1660408640,67,29.7633,-95.3633,33.01,7.2
Gouré,100,NE,1660408858,53,13.9835,10.2704,27.23,4.47
Tagusao,100,PH,1660408858,79,9.1924,117.8141,27.42,1.52
Camacha,20,PT,1660408858,69,33.0833,-16.3333,22.68,4.63
Tambura,99,SS,1660408858,94,5.6,27.4667,21.3,1.27
Tasiilaq,10,GL,1660408858,58,65.6145,-37.6368,4.09,2.16
Duluth,100,US,1660408858,83,46.7833,-92.1066,18.32,5.14
Nioro,98,GM,1660408859,84,13.35,-15.75,25.22,5.45
Paramonga,63,PE,1660408859,71,-10.6667,-77.8333,19.46,4.47
Chumikan,100,RU,1660408859,94,54.7183,135.315,12.15,1.46
Ribeira Grande,20,PT,1660408859,78,38.5167,-28.7,27.22,7.2
Pont-Saint-Esprit,8,FR,1660408859,56,44.2549,4.6474,34.34,9.15
Itarana,97,BR,1660408859,49,-19.8739,-40.8753,23.87,1.71
Khatanga,1,RU,1660408859,57,71.9667,102.5,9.03,3.94
Isiolo,92,KE,1660408859,54,0.3546,37.5822,23.15,5.11
Butaritari,45,KI,1660408860,76,3.0707,172.7902,27.6,7.41
Dingle,94,PH,1660408860,91,10.9995,122.6711,24.64,0.94
Black River,11,JM,1660408860,63,18.0264,-77.8487,30.59,4.51
Kapaa,20,US,1660408860,92,22.0752,-159.319,23.18,5.14
Bara,100,NG,1660408860,94,10.3744,10.7288,25.88,1.55
Chara,86,RU,1660408860,79,56.9064,118.2631,13.6,1.01
Beringovskiy,100,RU,1660408860,87,63.05,179.3167,7.86,5.93
Shirokiy,25,RU,1660408860,95,49.758,129.523,13.39,1.34
Puerto Escondido,75,MX,1660408860,66,15.85,-97.0667,30.46,0.0
Hermanus,60,ZA,1660408860,86,-34.4187,19.2345,13.78,8.17
Mount Vernon,75,US,1660408861,45,40.9126,-73.8371,25.85,4.63
San Patricio,61,US,1660408861,52,28.017,-97.5169,31.4,4.63
Talnakh,100,RU,1660408861,52,69.4865,88.3972,14.34,4.95
Hamilton,0,US,1660408861,48,39.1834,-84.5333,27.71,3.6
Baykit,7,RU,1660408861,86,61.67,96.37,6.87,1.31
Kuytun,8,RU,1660408861,80,54.3419,101.5036,11.57,1.24
Mount Gambier,75,AU,1660408861,100,-37.8333,140.7667,6.95,3.6
Shelton,75,US,1660408861,47,41.3165,-73.0932,25.77,4.12
Remedios,40,CU,1660408861,65,22.4947,-79.5458,30.51,3.97
Uyemskiy,0,RU,1660408862,55,64.4743,40.8524,15.03,3.0
Cidreira,100,BR,1660408862,69,-30.1811,-50.2056,19.43,2.4
Oparino,3,RU,1660408862,74,59.8518,48.2783,13.17,1.0
